ら戳,Θユ计,秨絃基,程蔼基,程基,Μ絃基,MA10,MA50
2020/1/2,33282120,332.5,339,332.5,339,333.85,315.35
2020/1/3,42023268,344,345,335.5,339.5,334.3,316.28
2020/1/6,45677057,333,334.5,332,332,334.6,317.05
2020/1/7,51746181,332.5,333,326.5,329.5,334.15,317.75
2020/1/8,37913748,325,333,325,329.5,333.9,318.37
2020/1/9,32397504,335,337.5,333.5,337.5,334.35,319.13
2020/1/10,27880115,340.5,341,336,339.5,335,319.95
2020/1/13,30663332,342,342,339,341.5,335.35,320.8
2020/1/14,30368993,345.5,346,344.5,346,336.5,321.58
2020/1/15,54575274,345,345,337.5,340,337.4,322.17
2020/1/16,58217420,330,336.5,330,334.5,336.95,322.64
2020/1/17,53908097,334,335.5,332,333,336.3,323.12
2020/1/20,35551203,334,335.5,333,333,336.4,323.67
2020/1/30,126820049,326,326,316.5,316.5,335.1,323.98
2020/1/31,62912055,323,323.5,319,320,334.15,324.28
2020/2/3,59711849,315,316.5,312,315,331.9,324.5
2020/2/4,52208496,319,326,318,325,330.45,324.93
2020/2/5,36601453,329,329.5,324.5,327.5,329.05,325.34
2020/2/6,29659094,329.5,332.5,329,332.5,327.7,325.77
2020/2/7,30055327,330,330.5,326,328,326.5,326.03
2020/2/10,30814424,321.5,328,321,327.5,325.8,326.31
2020/2/11,29062935,330.5,332.5,330,331.5,325.65,326.72
2020/2/12,37612639,333.5,336,333,335,325.85,327.24
2020/2/13,23217021,338,338,335,335,327.7,327.8
2020/2/14,18326683,337,337,334.5,335,329.2,328.36
2020/2/17,16145079,331.5,333,330.5,331.5,330.85,328.77
2020/2/18,64662604,324.5,326.5,322,322,330.55,329.02
2020/2/19,48856218,322.5,327,322,326.5,330.45,329.45
2020/2/20,27061736,328,329,325,325.5,329.75,329.81
2020/2/21,22974534,325.5,326.5,323,325,329.45,330.17
2020/2/24,42946680,319.5,321.5,319.5,320,328.7,330.45
2020/2/25,38674011,320,323.5,317.5,322,327.75,330.65
2020/2/26,60768362,317,320.5,316.5,318.5,326.1,330.76
2020/2/27,62401927,319,320,315,316,324.2,330.76
2020/3/2,86372942,308,317,308,311,321.8,330.71
2020/3/3,55169411,318.5,320,316,317.5,320.4,330.68
2020/3/4,44745146,322,322,317,320.5,320.25,330.46
2020/3/5,38223525,325,326,323,323,319.9,330.14
2020/3/6,52807760,320,320.5,315,315,318.85,329.72
2020/3/9,88633277,307.5,310,305.5,305.5,316.9,328.93
2020/3/10,74869130,301.5,309,301,307,315.6,328.18
2020/3/11,64923710,309,310.5,302,302,313.6,327.52
2020/3/12,114173351,299,299,287,294,311.15,326.82
2020/3/13,151268148,275,294,272.5,290,308.55,325.94
2020/3/16,103933228,285,291,275.5,276.5,305.1,324.83
2020/3/17,122409651,265,276.5,265,268,300.15,323.53
2020/3/18,118620643,269.5,272.5,260,260,294.1,322.07
2020/3/19,160811697,252,253,235.5,248,286.6,320.27
2020/3/20,159179726,258.5,270,256,270,282.1,318.98
2020/3/23,76963709,257,262.5,252,255,277.05,317.46
2020/3/24,82377933,268,274,266,267.5,273.1,316.03
2020/3/25,80514199,276.5,280,274,277,270.6,314.78
2020/3/26,54189633,279.5,280,275.5,280,269.2,313.74
2020/3/27,69320306,284,286,273,273,267.5,312.61
2020/3/30,53403956,263.5,269,262.5,267.5,266.6,311.37
2020/3/31,53901923,273,274,269.5,274,267.2,310.1
2020/4/1,47572034,276.5,276.5,271.5,271.5,268.35,308.74
2020/4/6,59712754,273,275.5,270,275.5,271.1,307.42
2020/4/7,48887346,283.5,284,280.5,283,272.4,306.16
2020/4/8,38698826,285,285.5,283,285,275.4,305.06
2020/4/9,29276430,287.5,288,282.5,283,276.95,304.03
2020/4/10,28206858,280,282,279,279.5,277.2,302.96
2020/4/13,22196596,278.5,281.5,278.5,278.5,277.05,301.87
2020/4/14,50196688,281,285.5,280,285,278.25,301.24
2020/4/15,58561434,287,288.5,286,287.5,280.25,300.59
2020/4/16,48257280,283,288.5,283,286.5,281.5,300.02
2020/4/17,117447201,303.5,308.5,300.5,306.5,285,299.65
2020/4/20,44586860,308,309,302.5,304,287.85,299.18
2020/4/21,61949357,300.5,301.5,293.5,295,289.05,298.43
2020/4/22,43568580,294.5,295,290.5,294,289.95,297.75
2020/4/23,39977278,300,300,294,295.5,291.2,297.11
2020/4/24,26465090,295.5,297,294,294,292.65,296.36
2020/4/27,38493406,298,298.5,296,298,294.6,295.62
2020/4/28,37621165,298.5,298.5,294.5,296.5,295.75,294.85
2020/4/29,46253301,299,301.5,298,299,296.9,294.13
2020/4/30,58439085,302,305,301.5,304.5,298.7,293.59
2020/5/4,72252861,294.5,296.5,294,295,297.55,293.05
2020/5/5,23988405,296.5,298,295,295.5,296.7,292.43
2020/5/6,35704479,294.5,296,292.5,296,296.8,291.84
2020/5/7,28017198,294.5,299,294.5,297.5,297.15,291.29
2020/5/8,35613893,300,300,296,297.5,297.35,290.84
2020/5/11,32379019,300,301.5,298.5,301,298.05,290.42
2020/5/12,52494788,297.5,298.5,295,295,297.75,289.95
2020/5/13,46158418,293,297,292.5,297,297.8,289.57
2020/5/14,34480948,293,295,292.5,293,297.2,289.21
2020/5/15,44304804,297.5,298.5,294.5,298,296.55,288.82
2020/5/18,96872065,291,293.5,290,290,296.05,288.21
2020/5/19,53083214,294,294,291.5,291.5,295.65,287.58
2020/5/20,36789994,293,294,291,294,295.45,287.16
2020/5/21,36299468,296,298,295,297.5,295.45,287
2020/5/22,41138923,294.5,295,291,292,294.9,286.7
2020/5/25,32942223,290.5,293,288.5,292,294,286.5
2020/5/26,35817481,295,297.5,293.5,295.5,294.05,286.53
2020/5/27,23375959,297,298,295.5,296.5,294,286.66
2020/5/28,32395568,298.5,298.5,293,294,294.1,287.01
2020/5/29,96611181,292,292.5,290,292,293.5,287.49
2020/6/1,37936214,294,296.5,293.5,295.5,294.05,288.2
2020/6/2,26663587,296,297.5,296,296.5,294.55,289.17
2020/6/3,67894337,300,301,298,301,295.25,289.79
2020/6/4,47225322,305,306,304,306,296.1,290.81
2020/6/5,44077262,308.5,312,308,311.5,298.05,291.69
2020/6/8,52042921,316,319,315,318,300.65,292.51
2020/6/9,37068082,316.5,319,314,319,303,293.29
2020/6/10,42207259,319,324,318,322.5,305.6,294.28
2020/6/11,50612255,325.5,327,318.5,320.5,308.25,295.34
2020/6/12,46970918,313,317.5,312.5,316,310.65,296.18
2020/6/15,51032404,316,317.5,308.5,309.5,312.05,296.94
2020/6/16,40725216,317,317,314,315,313.9,297.73
2020/6/17,34692968,316.5,317,313.5,315,315.3,298.37
2020/6/18,35443474,314.5,315,313,314.5,316.15,298.96
2020/6/19,48130280,314,314.5,312,314.5,316.45,299.59
2020/6/22,37374616,314.5,316.5,312,312,315.85,300.24
2020/6/23,41300084,316,316.5,312.5,315,315.45,300.97
2020/6/24,55464024,319,320,316,317.5,314.95,301.62
2020/6/29,56672892,314,315,310,312,314.1,302.11
2020/6/30,49241860,313.5,314,311,313,313.8,302.64
2020/7/1,29685342,315,318,314,317.5,314.6,302.86
2020/7/2,37789178,319,322,318,322,315.3,303.22
2020/7/3,55656987,327,330.5,326.5,329.5,316.75,303.91
2020/7/6,57256220,332.5,338,332,338,319.1,304.79
2020/7/7,59046323,343.5,346,338,338.5,321.5,305.65
2020/7/8,33813218,337.5,342.5,337.5,341,324.4,306.59
2020/7/9,37410376,346,347,343,345,327.4,307.53
2020/7/10,60902108,352.5,353,345.5,348.5,330.5,308.57
2020/7/13,49459523,351,354.5,350.5,354.5,334.75,309.68
2020/7/14,63030150,355,364,354.5,363.5,339.8,310.86
2020/7/15,75105362,366,370,361,363,344.35,312.22
2020/7/16,68582512,359,361,353.5,357.5,347.9,313.46
2020/7/17,66403485,361,369,360,367,351.65,314.88
2020/7/20,44940238,370,370,362.5,366,354.45,316.25
2020/7/21,64440128,372.5,387,371.5,383,358.9,317.96
2020/7/22,43959670,381,386,379,384,363.2,319.62
2020/7/23,45397282,382,383,379,381.5,366.85,321.35
2020/7/24,90988734,390,395,382,386,370.6,323.13
2020/7/27,103315640,420.5,424.5,416.5,424.5,377.6,325.76
2020/7/28,172157746,464,466.5,428.5,435,384.75,328.5
2020/7/29,88641166,428,431.5,419.5,422,390.65,331.14
2020/7/30,69936949,436.5,441,428.5,434,398.3,333.99
2020/7/31,50484674,426,432,425.5,425.5,404.15,336.62
2020/8/3,77288571,420.5,424,415,416,409.15,338.99
2020/8/4,41697445,421.5,425.5,418.5,425.5,413.4,341.66
2020/8/5,47460834,430.5,433.5,426,429,417.9,344.4
2020/8/6,43443627,437.5,438,431,435,423.25,347.19
2020/8/7,37611388,433.5,434,428,433,427.95,349.92
2020/8/10,36067500,427.5,437.5,427.5,435.5,429.05,352.75
2020/8/11,34545313,432,435,429,429,428.45,355.49
2020/8/12,53980474,422,423.5,419,419,428.15,357.96
2020/8/13,45669335,428,429,424.5,429,427.65,360.61
2020/8/14,24259947,424,428,423,427,427.8,363.13
2020/8/17,34607731,427,435,425.5,435,429.7,365.71
2020/8/18,45504160,440,440.5,432,433,430.45,368.14
2020/8/19,31486800,436,436.5,427.5,427.5,430.3,370.33
2020/8/20,75155235,427,427.5,401,415,428.3,372.25
2020/8/21,41956467,421.5,427,420,424.5,427.45,374.29
2020/8/24,49199406,427.5,434.5,425,428,426.7,376.44
2020/8/25,37024899,433.5,436,430.5,434.5,427.25,378.81
2020/8/26,41406340,435.5,442,435,442,429.55,381.46
2020/8/27,57206712,448,453.5,444,444,431.05,384.04
2020/8/28,57039210,440,440.5,431,435,431.85,386.44
2020/8/31,88569538,437,439.5,426.5,426.5,431,388.68
2020/9/1,50129577,430,435,428,435,431.2,391.09
2020/9/2,42013407,441,441,430.5,433,431.75,393.51
2020/9/3,40683617,439.5,439.5,433.5,436,433.85,395.93
2020/9/4,51349911,427,432.5,427,429,434.3,398.16
2020/9/7,39854584,428,432.5,425,426,434.1,400.44
2020/9/8,23714670,428,433,427.5,431,433.75,402.8
2020/9/9,40727362,425,428,423,427,432.25,404.99
2020/9/10,35281921,432.5,435,430.5,435,431.35,407.25
2020/9/11,34893469,435.5,436.5,432.5,436.5,431.5,409.39
2020/9/14,39325833,436,442,435.5,441,432.95,411.45
2020/9/15,39661449,440.5,447,439.5,445,433.95,413.58
2020/9/16,70608238,460,462,455.5,458,436.45,415.92
2020/9/17,44420506,453,455,446.5,448.5,437.7,417.99
2020/9/18,52999922,447,449.5,443,444,439.2,419.9
2020/9/21,40193920,443.5,450,440,440,440.6,421.61
2020/9/22,36842639,440,441,436,437,441.2,423.08
2020/9/23,47426963,436,438.5,432,433.5,441.85,424.49
2020/9/24,82510381,425.5,429,423,423,440.65,425.8
2020/9/25,41263269,427,428,421,424,439.4,426.94
2020/9/28,34427479,427,431.5,424.5,431.5,438.45,428.25
2020/9/29,42730502,432.5,435,428,431,437.05,429.21
2020/9/30,28859204,430.5,435,430.5,433,434.55,430.19
2020/10/5,33238832,438,438,431.5,432.5,432.95,431.21
2020/10/6,36276395,441.5,442,437.5,439.5,432.5,432.28
2020/10/7,44691239,435,445,435,443,432.8,432.65
2020/10/8,60853811,450,454,448.5,453,434.4,433.01
2020/10/12,67645223,458,462,457.5,460,437.05,433.77
2020/10/13,46303738,465,465,456.5,462,440.95,434.33
2020/10/14,52677241,460.5,461,457,459,444.45,435
2020/10/15,49987278,456,456.5,450,453,446.6,435.74
2020/10/16,48274801,451,456,448.5,449,448.4,436.21
2020/10/19,34846906,453,457.5,451,457.5,450.85,436.78
2020/10/20,26567638,455.5,457,451,451,452.7,437.1
2020/10/21,29906921,453.5,456,451,453,454.05,437.5
2020/10/22,25285547,450,455,449.5,455,455.25,437.89
2020/10/23,18777385,458,458,451.5,452,455.15,438.35
2020/10/26,15800622,455,455,450,450,454.15,438.97
2020/10/27,31795010,447.5,448.5,445.5,447,452.65,439.33
2020/10/28,26221663,445,447,443,444,451.15,439.67
2020/10/29,43075387,436.5,439.5,435.5,437,449.55,439.71
2020/10/30,49770771,437,437,432,432,447.85,439.69
2020/11/2,34539576,433,435.5,428,435.5,445.65,439.85
2020/11/3,31461727,439.5,443,438,441,444.65,440.37
2020/11/4,37929652,444.5,451.5,443,450,444.35,440.88
2020/11/5,36539446,451.5,451.5,445.5,451,443.95,441.34
2020/11/6,32644190,455,455.5,450,452.5,444,441.7
2020/11/9,43415670,458,460,454,458.5,444.85,442.03
2020/11/10,36786882,452,454.5,448.5,451,445.25,442.17
2020/11/11,40355804,448.5,457,448.5,457,446.55,442.61
2020/11/12,57993774,463,463.5,457.5,458,448.65,443.24
2020/11/13,31483881,459,462,456.5,462,451.65,443.78
2020/11/16,83380911,470,484.5,469,484,456.5,444.8
2020/11/17,75763870,502,506,485.5,485.5,460.95,445.79
2020/11/18,56607501,490,497,486.5,497,465.65,447.15
2020/11/19,47345316,499,499,490,490,469.55,448.43
2020/11/20,35242579,486,490,486,488,473.1,449.57
2020/11/23,43708352,494.5,498.5,492,496.5,476.9,450.96
2020/11/24,38630079,499.5,500,491.5,492,481,452.1
2020/11/25,47179640,495,495.5,487,487,484,453.11
2020/11/26,31844322,489,493.5,488,489,487.1,454.07
2020/11/27,35196829,487.5,492,486.5,489,489.8,454.95
2020/11/30,149311778,493,493.5,480.5,480.5,489.45,455.4
2020/12/1,38341265,489.5,490,483.5,490,489.9,456.23
2020/12/2,60208035,499.5,500,493.5,499,490.1,457.33
2020/12/3,36919644,499.5,499.5,495,497,490.8,458.47
2020/12/4,54471042,498.5,505,497.5,503,492.3,459.79
2020/12/7,45493551,512,515,506,514,494.05,461.4
2020/12/8,41830257,514,525,509,524,497.25,463.42
2020/12/9,46831705,521,524,520,520,500.55,465.34
2020/12/10,43991133,511,515,510,512,502.85,466.95
2020/12/11,51296611,517,517,505,516,505.55,468.65
