Date,Close,High,Low,Open,Volume,EMA_5,EMA_20,MACD,MACD_signal,MACD_hist,RSI_14,BB_MID,BB_STD,BB_UPPER,BB_LOWER,OBV,OBV_change
2021-01-04,109.5848617553711,109.7170523197317,107.51389865869291,107.69014826217946,6140797,107.51412893149543,104.97582376183931,1.9279245909829115,1.7725551420925851,0.15536944889032633,72.5925792918404,105.24685707092286,1.4857107048005027,108.21827848052386,102.27543566132185,100391295,6140797.0
2021-01-05,109.80518341064453,109.84924917578577,109.05611246768606,109.45267745999003,4731570,108.27781375787848,105.43576277601125,2.0816643821831633,1.834376990110701,0.2472873920724623,80.07971672830296,105.52004814147949,1.7830361472149874,109.08612043590946,101.95397584704952,105122865,4731570.0
2021-01-06,110.99488067626953,112.05239848598015,109.36454828356027,111.1270712429198,10587073,109.18350273067551,105.96520257603584,2.2732977397012064,1.9221611400288021,0.3511365996724043,78.63249001627142,105.78002014160157,2.163712471940697,110.10744508548296,101.45259519772017,115709938,10587073.0
2021-01-07,113.5946044921875,113.68273602293672,111.5236479894172,111.5236479894172,6691163,110.65386998451285,106.69181228233599,2.6049166833033865,2.058712248683719,0.5462044346196677,86.78581278546154,106.16997833251953,2.7813053025109107,111.73258893754135,100.60736772749772,122401101,6691163.0
2021-01-08,115.62150573730469,115.66557150155909,114.1674296457927,115.09275690720183,12990245,112.3097485687768,107.54225927804728,2.99673656256455,2.246317111459885,0.7504194511046647,90.88062402808693,106.72517318725586,3.4596451193605082,113.64446342597688,99.80588294853484,135391346,12990245.0
2021-01-11,116.59090423583984,116.59090423583984,115.0046307771037,115.62151116467221,10145856,113.73680045779781,108.40403498831324,3.3468980397883286,2.4664332971255742,0.8804647426627543,90.85186837964159,107.32222785949708,4.060786656358654,115.44380117221438,99.20065454677977,145537202,10145856.0
2021-01-12,116.41464233398438,117.33995609421027,115.97401161121681,116.5908919336949,10874362,114.62941441652669,109.16694997361526,3.5690390108009495,2.6869544398606493,0.8820845709403002,97.95910434751882,107.93250122070313,4.46531668675157,116.86313459420627,99.00186784719999,134662840,-10874362.0
2021-01-13,119.23468780517578,119.36687165600064,116.94340244633032,116.98746821226655,10688901,116.1645055460764,110.1257821480496,3.9273691651560085,2.9350373849197213,0.9923317802362872,98.30979348206735,108.73665275573731,4.977802127801865,118.69225701134104,98.78104850013358,145351741,10688901.0
2021-01-14,118.13311004638672,119.01437157087005,117.51622966864514,118.97030580524914,12000449,116.82070704617985,110.8883848050341,4.07548067097062,3.1631260421299014,0.9123546288407187,91.55307540899457,109.38878631591797,5.31771981485662,120.0242259456312,98.75334668620474,133351292,-12000449.0
2021-01-15,118.52967071533203,121.61408593840758,118.44153918730801,120.86500829115309,21523977,117.39036160256393,111.61612632030057,4.176712694177468,3.3658433725394152,0.8108693216380525,91.68895216459069,110.08938941955566,5.559701042978968,121.2087915055136,98.96998733359771,154875269,21523977.0
2021-01-18,118.44154357910156,118.92624010723969,116.41465282922456,118.6178066416854,14202770,117.74075559474315,112.266166059234,4.201397582470108,3.532954214525554,0.6684433679445538,90.67789936644873,110.80321159362794,5.6743451802598734,122.15190195414769,99.45452123310818,140672499,-14202770.0
2021-01-19,121.57002258300781,121.702219877663,119.14655343114762,119.14655343114762,12069311,119.01717792416471,113.15224763292674,4.422423696601086,3.7108481109406606,0.7115755856604258,92.67134176991354,111.6227855682373,5.993939765724106,123.61066509968552,99.63490603678909,152741810,12069311.0
2021-01-20,121.79032897949219,122.93597154710544,121.30563249546553,121.70221090320348,29965436,119.94156160927388,113.97492204688535,4.56276861312864,3.881232211378257,0.6815364017503827,92.13191868418821,112.51285896301269,6.121044318424341,124.75494759986137,100.27077032616401,182707246,29965436.0
2021-01-21,126.0203857421875,126.24070110187664,121.92252543076248,121.96657774511438,13672387,121.96783632024508,115.12210906548556,4.95816851896349,4.096619472895304,0.8615490460681858,93.50099677518182,113.6078254699707,6.488566342520268,126.58495815501124,100.63069278493018,196379633,13672387.0
2021-01-22,123.76923370361328,125.16496083503378,121.56309145848604,124.44458421171598,23767813,122.56830211470117,115.94564474530725,5.03187234502802,4.283670047321848,0.7482022977061726,83.11226125426555,114.56159362792968,6.511247440261605,127.5840885084529,101.53909874740647,172611820,-23767813.0
2021-01-25,122.10337829589844,123.63417004464385,120.84271576042941,123.54411781352414,13750626,122.4133275084336,116.53209555964926,4.899385482838895,4.406813134425257,0.4925723484136375,76.89406439897373,115.42546005249024,6.294119727725955,128.01369950794214,102.83722059703832,158861194,-13750626.0
2021-01-26,119.62709045410156,123.00384294633204,118.68159700826881,122.05834950049929,14376477,121.48458182365627,116.82685697816852,4.542213150634694,4.433893137667145,0.10832001296754967,67.8715267960518,116.1192455291748,5.925600324980898,127.9704461791366,104.26804487921301,144484717,-14376477.0
2021-01-27,119.80717468261719,121.02279726994755,119.08679810862125,120.0322915032384,7854841,120.92544610997658,117.11069675954458,4.224979858440236,4.392110481821763,-0.16713062338152707,64.29419542203209,116.82644157409668,5.435810006783973,127.69806158766463,105.95482156052873,152339558,7854841.0
2021-01-28,117.37592315673828,118.2313643809409,116.52046819249446,117.06075409201253,14503801,119.7422717922305,117.13595641642017,3.7343413470104707,4.260556654859505,-0.5262153078490339,53.96291433914779,117.33716773986816,4.936889347460218,127.2109464347886,107.46338904494773,137835757,-14503801.0
2021-01-29,115.43989562988281,118.72660924894004,115.43989562988281,118.50149244243089,14039666,118.30814640478128,116.97442681770234,3.15294041600427,4.039033407088458,-0.8860929910841877,47.50886300851873,117.72245140075684,4.42182901343292,126.56610942762268,108.878793373891,123796091,-14039666.0
2021-02-01,117.73609161376953,117.91618231373677,114.8545991941747,115.43989740407814,14132983,118.11746147444404,117.0469663220897,2.8446682503578273,3.800160375742332,-0.9554921253845046,52.619635385110065,118.13001289367676,3.986533635187907,126.10308016405257,110.15694562330096,137929074,14132983.0
2021-02-02,121.06782531738281,121.60811119152646,119.31191683647673,119.31191683647673,10888373,119.10091608875697,117.42990527402239,2.836505928839216,3.607429486361709,-0.7709235575224929,53.56174548994995,118.69314498901367,3.5164437691071235,125.72603252722791,111.66025745079943,148817447,10888373.0
2021-02-03,120.97779083251953,122.01332276215985,120.84271248949624,121.96829664781875,7081970,119.7265410033445,117.7677991367364,2.790603855593787,3.4440643602081247,-0.6534605046143378,55.75330315993608,119.19229049682617,3.042813511819757,125.27791752046569,113.10666347318666,141735477,-7081970.0
2021-02-04,120.25740814208984,121.15787542321364,119.17685015274937,120.1223298058971,6558479,119.90349671625961,118.00490475629387,2.6653725140071742,3.2883259909679348,-0.6229534769607605,53.449131936934826,119.52543067932129,2.748169789575866,125.02177025847303,114.02909110016955,135176998,-6558479.0
2021-02-05,121.38300323486328,122.73370427885648,120.8427173212494,121.38300323486328,8799751,120.39666555579419,118.32662842091953,2.6266732365294274,3.1559954400802335,-0.5293222035508061,55.63855717005542,119.81350555419922,2.616209691317179,125.04592493683359,114.58108617156486,143976749,8799751.0
