Date,Close,High,Low,Open,Volume,Open_diff,High_diff,Low_diff,RSI_12,MA_5,MA_10,MA_20,W%R_12,BIAS_6,BIAS_12,up,PSY_6,K,D,MACD,MTM_10,AD,CCI_10,UpDown
2019-01-02,60.346168518066406,61.853802752726,60.26466973444893,61.81305336091726,8532.073,0.6111864587433473,0.32595927738420016,-0.7334625866808011,41.50890098011443,60.61510238647461,60.96145095825195,61.39744396209717,-72.72746472245332,-0.5150099297566955,-1.195316070229685,False,33.33333333333333,28.301916451319403,58.31914709456567,-0.023549656334309887,-1.5483932495117188,-10860.686643213787,-26.93470189996456,0
2019-01-03,59.77572250366211,60.30543363721589,59.694229917919785,60.14244846573123,13347.147,-1.670604895186031,-1.5483691155101056,-0.5704398165291451,38.191830603551004,60.54990997314453,60.802538299560545,61.19778461456299,-96.42863130115732,-1.1566446564762507,-1.9111738582943085,False,33.33333333333333,3.773551159233647,38.36503373407516,-0.0703958675593237,-1.5891265869140625,-20648.648752894223,-127.51704647596351,0
2019-01-04,58.838539123535156,59.32750704719548,58.67555396063866,59.32750704719548,21292.465,-0.8149414185357458,-0.9779265900204095,-1.0186759572811255,33.407164311789316,60.32987594604492,60.50101165771484,61.01646099090576,-94.93676830271377,-2.3664646343760154,-3.04386514288261,False,33.33333333333333,5.128143627467736,12.401203746006928,-0.1513131854288674,-3.0152664184570312,-31295.084312889434,-170.69315345500442,1
2019-01-07,60.264686584472656,60.346185390877224,59.69423224455661,59.93871622879834,14605.638,0.6112091816028595,1.0186783436817421,1.01867828391795,44.87230585784495,60.15059204101563,60.411369705200194,60.96960296630859,-50.632643308166735,-0.0900619340884971,-0.5435585455766972,True,50.0,50.000258878107616,19.633984554936333,-0.09817666690186011,-0.8964195251464844,-20341.064747419754,-37.536803842804034,0
2019-01-08,60.020198822021484,60.42766791624093,59.938706246674585,60.42766791624093,11006.7,0.48895168744258655,0.08148252536370393,0.24447400211797543,43.472562527760026,59.849063110351565,60.28505439758301,60.89625854492188,-57.69227177147073,-0.18071358100166887,-0.6966291103021753,False,33.33333333333333,42.30772822852927,32.47871024470154,-0.07019557744618199,-1.263153076171875,-27678.91140001429,-26.18593964916609,1
2019-01-09,61.120365142822266,61.24260711660492,60.26467754382873,60.26467754382873,11430.523,-0.16299037241219594,0.8149392003639946,0.3259712971541475,50.97912134170872,60.003902435302734,60.30950241088867,60.918668556213376,-23.076784036848196,1.763905527879837,1.1292757777856366,True,33.33333333333333,76.9232159631518,56.4104010232629,0.026524433619519172,0.24448013305664062,-19106.037318272014,65.47032885749364,0
2019-01-10,60.957374572753906,61.03886714220588,60.71289064691347,60.957374572753906,2823.283,0.6926970289251742,-0.203739974399042,0.44821310308473983,49.907986041499136,60.24023284912109,60.39507141113281,60.908481979370116,-28.20509779485687,1.3206830858861125,0.9049462311272204,False,33.33333333333333,71.79490220514313,63.67528213227473,0.08058626989386397,0.8556900024414062,-17694.36889344986,55.66007230283181,1
2019-01-11,61.5278434753418,61.73157805638597,61.24261630537715,61.36485829750085,10362.915,0.40748372474694605,0.6927109141800898,0.5297256584636756,53.62816891261554,60.77809371948242,60.553984832763675,60.87995948791504,-10.255939629261183,1.7748933760644858,1.7577490132869114,True,50.0,89.74406037073881,79.48739284634458,0.15170077548456795,1.5891342163085938,-15967.23835538535,100.08786381517177,0
2019-01-14,61.120365142822266,61.48708484668518,60.916630592346195,61.48708484668518,5298.405,0.12222654918432596,-0.24449320970079214,-0.3259857130309527,50.69445755463925,60.94922943115235,60.54991073608399,60.826988220214844,-23.076784036848196,0.4688510472862148,0.9421234700789044,False,50.0,76.9232159631518,79.48739284634458,0.16701955930869083,-0.040740966796875,-17481.051855875878,62.890241390922526,1
2019-01-15,61.65007781982422,61.77231979678391,61.161116129470685,61.161116129470685,11836.45,-0.3259687172144936,0.285234950098733,0.24448553712448984,54.24418581737119,61.27520523071289,60.562134170532225,60.83921222686767,-6.40997436729868,0.956407764188307,1.577712505922501,True,50.0,96.05259217429706,87.57328950272922,0.20599229912947348,0.12223434448242188,-10379.230018514329,95.83384275017545,0
2019-01-16,61.568580627441406,61.69081637775627,61.40558926454698,61.65007320014623,15342.503,0.4889570706755464,-0.08150341902764069,0.24447313507629786,53.59655562143757,61.36484832763672,60.68437538146973,60.82291316986084,-8.97419125886835,0.3986678854938759,1.3867099438676822,False,50.0,93.42090490134983,88.79890434626623,0.21827238081076256,1.222412109375,-8186.966102110585,83.58786136724865,0
2019-01-17,61.568580627441406,61.853807740650694,61.24260411913732,61.60932380505144,10020.739,-0.04074939509479236,0.16299136289442373,-0.1629851454096638,53.59655562143757,61.48708953857422,60.863661193847655,60.8330997467041,-8.974334114005458,0.2765150234900463,1.3810424891387387,False,33.33333333333333,86.79244537988305,92.08864748517665,0.2178817528370781,1.7928581237792969,-7518.876060952461,73.46479513255959,1
2019-01-18,61.894561767578125,62.01680375680519,61.44634943039333,61.73157659359926,8293.491,0.12225278854781862,0.16299601615449433,0.20374531125601436,56.09198154027573,61.56043319702148,61.169263458251955,60.8351375579834,-3.6585707948957866,0.5516370435199347,1.7017291039864237,True,50.0,94.11760090028783,91.44365039384024,0.22987660511243313,3.0560226440429688,-2779.78999939375,92.4484944960611,1
2019-01-21,62.342777252197266,62.50576241814997,62.13904268601361,62.22053526898996,10254.756,0.48895867539070537,0.48895866134478183,0.6926932556202772,59.369391245703035,61.80491561889649,61.37707252502442,60.8942211151123,-4.255255758549625,1.0568077039407338,2.0793993357506224,True,50.0,92.72739877814452,91.21248168610514,0.2562824215052808,2.0780906677246094,-1640.2953938529727,147.36597879239724,0
2019-01-22,62.216732025146484,62.51080036243449,62.006682297053764,62.51080036243449,8838.931,0.2902650934445248,0.005037944284516982,-0.13236038895984592,58.040330342536336,61.91824645996094,61.59672584533691,60.94089012145996,-10.44066129348814,0.5546478732623981,1.4055837430422844,False,50.0,83.64387628870534,90.16295865571256,0.2531044179710802,2.196533203125,-3113.4318283352704,133.71619662546865,0
2019-01-23,61.922672271728516,62.17473457055824,61.880666162063925,62.17473457055824,6407.442,-0.3360657918762442,-0.3360657918762442,-0.12601613498983966,54.91176360482281,61.98906478881836,61.67695655822754,60.99322948455811,-22.865729799790568,0.005956455078962999,0.6995347410112266,False,33.33333333333333,63.107562209425254,79.8262790920917,0.22025127471060826,0.80230712890625,-7690.3357389185285,64.89080352113955,1
2019-01-24,62.216732025146484,62.300750634341775,61.964669787351625,62.132707005742205,3500.506,-0.04202756481603842,0.12601606378353125,0.08400362528769989,57.41586515639875,62.11869506835937,61.8028923034668,61.098981857299805,-13.092264361151065,0.30587110195207595,0.8774575177287889,True,50.0,81.55351187773958,76.10165012529006,0.20755096059421804,1.2593574523925781,-5940.049355619198,78.76407371607992,1
2019-01-25,63.01492691040039,63.098945530905624,62.63683991302193,62.678846018169615,7320.778,0.5461390124274104,0.7981948965638495,0.6721701256703057,63.43002855002476,62.34276809692383,61.95160064697266,61.25279273986816,-3.5212358721883317,1.199426774984619,1.9107648260547918,True,66.66666666666666,95.6642922001793,80.10845542911471,0.23984749655214105,1.4870834350585938,-1281.3539825387843,163.56597962773475,1
2019-01-28,63.140968322753906,63.39302422529289,63.05694968857425,63.140968322753906,3825.143,0.46212230458429104,0.29407869438726664,0.4201097755523193,64.29859994699007,62.50240631103516,62.15366096496582,61.351785850524905,-10.178345606512462,1.0646791865490646,1.8149794612396568,True,66.66666666666666,88.27875995869482,88.49885467887124,0.2552122232921563,2.0206031799316406,-3193.9254825388653,161.01963595983128,0
2019-01-29,62.59482955932617,62.63684207613458,62.34276727889586,62.594829559326165,4419.79,-0.5461387634277415,-0.7561821491583132,-0.7141824096783864,57.80850644475681,62.578025817871094,62.24813613891602,61.40513515472412,-32.232140131007185,0.12319589145398283,0.7898203433706485,False,50.0,62.88191950577989,82.27499055488467,0.21568032690941102,0.9447517395019531,-36.987678022263935,47.81745374938133,0
2019-01-30,62.46879577636719,62.720858046134,62.34276464148379,62.59482691125059,5255.229,-2.6480755721536298e-06,0.08401596999942029,-2.6374120736250006e-06,56.37593681786151,62.68725051879883,62.338157653808594,61.51126651763916,-41.4097897066514,-0.1455007917328439,0.4052120786050978,False,50.0,52.522709424950946,67.89446296314189,0.17013115732839634,0.9002151489257812,-1788.7306780223958,33.698604475914465,1
2019-02-11,63.140968322753906,63.561067903863105,62.888906010004035,63.30900559111323,6614.9,0.7141786798626342,0.8402098577291071,0.5461413685202459,61.87309132474654,62.87209777832031,62.49539642333984,61.67952880859375,-18.119738763091586,0.6024233261514523,1.2833322115002173,True,66.66666666666666,75.00005084144911,63.46822659072665,0.17375014007829834,1.5723876953125,-3442.42413584161,123.6565570001965,1
2019-02-12,63.561058044433594,63.6450766655805,63.30899577078298,63.30899577078298,6164.15,-9.820330248544451e-06,0.08400876171739213,0.4200897607789429,64.88955442566194,62.98132400512695,62.66204605102539,61.91565475463867,-3.4971729966817473,0.9115122856833139,1.6863578378378559,True,66.66666666666666,95.23814775646318,74.25363600762108,0.19151370643134624,1.6664962768554688,-360.290350150422,129.27600671178766,0
2019-02-13,63.435035705566406,63.81312275827023,63.35101707276675,63.81312275827023,4157.7,0.504126987487254,0.16804609268973536,0.042021301983773185,63.251856714659795,63.040137481689456,62.77127189636231,62.07417221069336,-15.97478931550183,0.5996057975199574,1.232843908312211,False,50.0,80.43490066239698,83.55769975343641,0.1819235338966524,1.0922584533691406,-3006.1099273396812,102.37425320475597,0
2019-02-14,63.2249755859375,63.645075091491904,63.2249755859375,63.4350253387147,3641.542,-0.3780974195555302,-0.16804766677832816,-0.12604148682925143,60.4764302081575,63.16616668701172,62.87209625244141,62.23441104888916,-30.435207367003763,0.24421983274795714,0.719417990025683,False,33.33333333333333,68.1816534374447,81.28490061876829,0.1499135650746395,1.0082435607910156,-6647.651927339681,66.70510681402396,0
2019-02-15,63.05694580078125,63.519051465383576,62.930914652176796,63.26699557838517,3516.111,-0.16802976032953154,-0.12602362610832785,-0.2940609337607043,58.24617239732698,63.28379669189453,62.98552360534668,62.33124008178711,-39.13034626358321,-0.1441335564461173,0.3565952747069795,False,33.33333333333333,48.571919394599384,65.72949116481368,0.1078699121593148,1.1342735290527344,-8656.836314347833,27.98098647344115,1
2019-02-18,63.561058044433594,63.77110780240581,63.43502690760829,63.43502690760829,6596.163,0.16803132922311903,0.25205633702223196,0.5041122554314938,62.74300091697767,63.36781463623047,63.11995620727539,62.46142425537109,-13.043745165168424,0.36483673121580174,0.9788625362611122,True,50.0,82.85691689943255,66.5368299104922,0.10439001488129418,1.3443260192871094,-10305.845611511722,97.41547466336496,0
2019-02-19,63.435035705566406,63.60307297116571,63.435035705566406,63.60307297116571,2862.069,0.16804606355741925,-0.16803483124009944,8.79795811670192e-06,60.95275687434841,63.34261016845703,63.16196708679199,62.55678386688233,-20.454242474772393,0.08838501986465687,0.5772730378190104,False,33.33333333333333,74.28605668324134,68.57163099242442,0.08481191159126322,0.4201087951660156,-13167.914611511722,65.37327857279138,1
2019-02-20,64.14920043945312,64.27523158735278,63.77111340596465,63.77111340596465,34307.853,0.1680404347989395,0.672158616187069,0.33607770039824203,66.80771195151473,63.485443115234375,63.262790298461915,62.708225631713866,-6.5217750900768605,1.0589002563021546,1.4505590500899348,True,33.33333333333333,93.47822490992314,83.54039949753233,0.1095955538234677,1.0082321166992188,3985.7937644778613,144.35742705233872,1
2019-02-21,64.77935791015625,64.77935791015625,64.19122102632197,64.19122102632197,18664.815,0.42010762035732085,0.5041263228034722,0.42010762035732085,70.99426261310917,63.796319580078126,63.48124313354492,62.864689636230466,-0.0,1.6926903992248572,2.2094674681754385,True,50.0,100.0,89.25476053105483,0.15527414152419405,2.184528350830078,22650.60876447786,203.69025857471695,0
2019-02-22,64.6533203125,64.6533203125,64.27523326911884,64.6533203125,9881.017,0.46209928617803087,-0.12603759765625,0.08401224279687369,69.09278401773388,64.11559448242187,63.6996955871582,63.0189266204834,-5.172697441002109,1.1169482908569555,1.808158417129408,False,50.0,93.18141916922987,95.553214693051,0.1630422253642667,2.1845245361328125,32531.62576447786,132.92661231030786,1
2019-02-25,65.11544036865234,65.32549017629316,64.94740308662426,64.98940920202557,19365.354,0.3360888895255698,0.6721698637931581,0.67216981750542,72.08348287330332,64.42647094726563,63.897142791748045,63.19626960754395,-7.042210394133332,1.2961666612631693,2.197816606357444,True,66.66666666666666,91.22809844478277,94.80317253800422,0.18380476525283163,1.9744720458984375,30379.773841585862,151.06345080315953,1
2019-02-26,65.2834701538086,65.36749519538498,64.94739562834577,65.24146404323108,15903.051,0.25205484120550636,0.04200501909181753,-7.458278489025361e-06,73.11538071436627,64.79615783691406,64.06938400268555,63.36571502685547,-3.390035027667076,1.1060456897778899,2.0857260447427923,True,66.66666666666666,96.55151799473255,93.65367853624839,0.19243648951234704,1.722412109375,39921.21618350492,118.94232698719294,0
2019-02-27,65.24146270751953,65.28346881723704,64.98940040837229,65.28346881723704,12907.489,0.042004774005960144,-0.08402637814793934,0.04200478002651664,72.38566016180958,65.01461029052734,64.25002670288086,63.51064929962158,-5.17251474476197,0.5720444661639257,1.7415536179875382,False,66.66666666666666,94.82748525523803,94.20236723158445,0.17916967718852628,1.806427001953125,49141.17274025722,90.63922039168528,0
